status,url,etag,content_length,content_type,last_modified,id
200,https://www.let.leidenuniv.nl/Dutch/Ceneton/AsselynSpilpenning1693.html,"""1d77e-5fbcf42055100-gzip""",26510,text/html,"Tue, 16 May 2023 13:07:48 GMT",AsselynSpilpenning1693
200,https://www.let.leidenuniv.nl/Dutch/Ceneton/AsselynStiefmoer1684.html,"""150e2-5b92c73336180-gzip""",21072,text/html,"Mon, 18 Jan 2021 13:10:46 GMT",AsselynStiefmoer1684
200,https://www.let.leidenuniv.nl/Dutch/Ceneton/AugustijnenBalthassar1728.html,"""2a8b-5b92c73336180-gzip""",3469,text/html,"Mon, 18 Jan 2021 13:10:46 GMT","AugustijnenBalthassar1728
"
200,https://www.let.leidenuniv.nl/Dutch/Ceneton/AugustijnenBalthassar1728.html,"""2a8b-5b92c73336180-gzip""",3469,text/html,"Mon, 18 Jan 2021 13:10:46 GMT",AugustijnenBalthassar1728
200,https://www.let.leidenuniv.nl/Dutch/Ceneton/AugustijnenLeopoldus1688.html,"""1e3e-5b92c73336180-gzip""",2861,text/html,"Mon, 18 Jan 2021 13:10:46 GMT",AugustijnenLeopoldus1688
200,https://www.let.leidenuniv.nl/Dutch/Ceneton/AugustijnenCarel1729.html,"""2c72-5b92c73336180-gzip""",3697,text/html,"Mon, 18 Jan 2021 13:10:46 GMT",AugustijnenCarel1729
200,https://www.let.leidenuniv.nl/Dutch/Ceneton/AugustijnenIamires1693.html,"""3949-5b92c73336180-gzip""",4421,text/html,"Mon, 18 Jan 2021 13:10:46 GMT",AugustijnenIamires1693
200,https://www.let.leidenuniv.nl/Dutch/Ceneton/BaraVorst1650.html,"""30f65-5b92c73336180-gzip""",,text/html,"Mon, 18 Jan 2021 13:10:46 GMT",BaraVorst1650
200,https://www.let.leidenuniv.nl/Dutch/Ceneton/BaraIckKenjeNiet1664.html,"""fa15-544cc4473a500-gzip""",15484,text/html,"Thu, 29 Dec 2016 13:43:16 GMT",BaraIckKenjeNiet1664
200,https://www.let.leidenuniv.nl/Dutch/Ceneton/BaraIckKenjeNiet1747.html,"""13088-5faef71dd2780-gzip""",16658,text/html,"Fri, 05 May 2023 10:06:38 GMT",BaraIckKenjeNiet1747
200,https://www.let.leidenuniv.nl/Dutch/Ceneton/BaraMoekroesje1668.html,"""12f51-5b92c73336180-gzip""",18493,text/html,"Mon, 18 Jan 2021 13:10:46 GMT",BaraMoekroesje1668
200,https://www.let.leidenuniv.nl/Dutch/Ceneton/BarbazAgathokles1798.html,"""2ceb5-5b92c73336180-gzip""",50541,text/html,"Mon, 18 Jan 2021 13:10:46 GMT",BarbazAgathokles1798
200,https://www.let.leidenuniv.nl/Dutch/Ceneton/BarbazMithridates1800.html,"""25d69-5b92c73336180-gzip""",45460,text/html,"Mon, 18 Jan 2021 13:10:46 GMT",BarbazMithridates1800
200,https://www.let.leidenuniv.nl/Dutch/Ceneton/BarbazPhiloctetes1793.html,"""1aa6e-543c20b120500-gzip""",31598,text/html,"Fri, 16 Dec 2016 08:06:12 GMT",BarbazPhiloctetes1793
200,https://www.let.leidenuniv.nl/Dutch/Ceneton/BarbazScyten1796.html,"""2a09d-5b92c73336180-gzip""",45114,text/html,"Mon, 18 Jan 2021 13:10:46 GMT",BarbazScyten1796
200,https://www.let.leidenuniv.nl/Dutch/Ceneton/BarentszBuchelioen1655.html,"""118d4-5cd81b2cfee80-gzip""",19883,text/html,"Mon, 04 Oct 2021 07:16:58 GMT",BarentszBuchelioen1655
200,https://www.let.leidenuniv.nl/Dutch/Ceneton/BaronKeesLouwen1667.html,"""b6a1-5cd81b2cfee80-gzip""",14709,text/html,"Mon, 04 Oct 2021 07:16:58 GMT",BaronKeesLouwen1667
404,https://www.let.leidenuniv.nl/Dutch/Ceneton/BaronKeesLouwen1679.html,,,,,BaronKeesLouwen1679
404,https://www.let.leidenuniv.nl/Dutch/Ceneton/BaronLichthart1653.html,,,,,BaronLichthart1653
200,https://www.let.leidenuniv.nl/Dutch/Ceneton/BerckmansAlphonsius1639.html,"""449f-5cd81b2cfee80-gzip""",3864,text/html,"Mon, 04 Oct 2021 07:16:58 GMT",BerckmansAlphonsius1639
200,https://www.let.leidenuniv.nl/Dutch/Ceneton/BerckmansJoseph1647ca.html,"""5b1-5bfacf1d37300-gzip""",521,text/html,"Sun, 11 Apr 2021 06:59:56 GMT",BerckmansJoseph1647ca
200,https://www.let.leidenuniv.nl/Dutch/Ceneton/BerghJeronimo1638.html,"""5296d-5cd81b2cfee80-gzip""",,text/html,"Mon, 04 Oct 2021 07:16:58 GMT",BerghJeronimo1638
200,https://www.let.leidenuniv.nl/Dutch/Ceneton/BerghJeronimo1621.html,"""319a6-5cd81b2cfee80-gzip""",43016,text/html,"Mon, 04 Oct 2021 07:16:58 GMT",BerghJeronimo1621
200,https://www.let.leidenuniv.nl/Dutch/Ceneton/BernagieJonker1684.html,"""18eaa-5b92c7314dd00-gzip""",22848,text/html,"Mon, 18 Jan 2021 13:10:44 GMT",BernagieJonker1684
200,https://www.let.leidenuniv.nl/Dutch/Ceneton/BernagieJonker1781.html,"""17820-5b92c7314dd00-gzip""",21094,text/html,"Mon, 18 Jan 2021 13:10:44 GMT",BernagieJonker1781
404,https://www.let.leidenuniv.nl/Dutch/Ceneton/BernagieGoeVrouw1686.html,,,,,BernagieGoeVrouw1686
200,https://www.let.leidenuniv.nl/Dutch/Ceneton/BernagieHuwelykSluyten1685.html,"""35e85-5d7ff66083700-gzip""",41777,text/html,"Mon, 14 Feb 2022 19:26:52 GMT",BernagieHuwelykSluyten1685
200,https://www.let.leidenuniv.nl/Dutch/Ceneton/BernagieHuwelykenStaat1684.html,"""20879-5dda79d300480-gzip""",28917,text/html,"Wed, 27 Apr 2022 19:14:10 GMT",BernagieHuwelykenStaat1684
200,https://www.let.leidenuniv.nl/Dutch/Ceneton/BernagieKantoorknecht1685.html,"""1dba8-5cc1c26f08200-gzip""",25560,text/html,"Thu, 16 Sep 2021 12:42:48 GMT",BernagieKantoorknecht1685
404,https://www.let.leidenuniv.nl/Dutch/Ceneton/BernagieJuffer1685.html,,,,,BernagieJuffer1685
200,https://www.let.leidenuniv.nl/Dutch/Ceneton/BestebenCatilina1647.html,"""2711a-538eb752e6c80-gzip""",52988,text/html,"Sun, 31 Jul 2016 09:53:38 GMT",BestebenCatilina1647
200,https://www.let.leidenuniv.nl/Dutch/Ceneton/BidlooFabiusSeverus1680.html,"""35e07-5b92c7314dd00-gzip""",48094,text/html,"Mon, 18 Jan 2021 13:10:44 GMT",BidlooFabiusSeverus1680
200,https://www.let.leidenuniv.nl/Dutch/Ceneton/BidlooKarelErfprins1679a.html,"""4044b-5b92c7314dd00-gzip""",54750,text/html,"Mon, 18 Jan 2021 13:10:44 GMT",BidlooKarelErfprins1679a
200,https://www.let.leidenuniv.nl/Dutch/Ceneton/BidlooMinnaars1719.html,"""2e646-5b92c7314dd00-gzip""",39949,text/html,"Mon, 18 Jan 2021 13:10:44 GMT",BidlooMinnaars1719
200,https://www.let.leidenuniv.nl/Dutch/Ceneton/BidlooVreede1678a.html,"""ccc3-5b92c7314dd00-gzip""",11596,text/html,"Mon, 18 Jan 2021 13:10:44 GMT",BidlooVreede1678a
404,https://www.let.leidenuniv.nl/Dutch/Ceneton/BieAlphonsus1673.html,,,,,BieAlphonsus1673
404,https://www.let.leidenuniv.nl/Dutch/Ceneton/BieFlorellus1671.html,,,,,BieFlorellus1671
404,https://www.let.leidenuniv.nl/Dutch/Ceneton/BieBorsesnyers1673.html,,,,,BieBorsesnyers1673
404,https://www.let.leidenuniv.nl/Dutch/Ceneton/DeBieRoeland1673.html,,,,,DeBieRoeland1673
200,https://www.let.leidenuniv.nl/Dutch/Ceneton/DeBieRoelant1702.html,"""1315b-5b92c87775e80-gzip""",26737,text/html,"Mon, 18 Jan 2021 13:16:26 GMT",DeBieRoelant1702
200,https://www.let.leidenuniv.nl/Dutch/Ceneton/BiensPiramus1623.html,"""1bb90-5db0870aa8d00-gzip""",32941,text/html,"Fri, 25 Mar 2022 10:29:40 GMT",BiensPiramus1623
200,https://www.let.leidenuniv.nl/Dutch/Ceneton/BilderdijkDoodvanEdipus1789.html,"""3bb33-6062b2a38f480-gzip""",57548,text/html,"Mon, 25 Sep 2023 08:58:42 GMT",BilderdijkDoodvanEdipus1789
200,https://www.let.leidenuniv.nl/Dutch/Ceneton/BlasiusEdelmoedige1658.html,"""a31-5b92c81076b80-gzip""",1336,text/html,"Mon, 18 Jan 2021 13:14:38 GMT",BlasiusEdelmoedige1658
200,https://www.let.leidenuniv.nl/Dutch/Ceneton/BlasiusOroondate1670.html,"""2f428-5b92c81076b80-gzip""",52896,text/html,"Mon, 18 Jan 2021 13:14:38 GMT",BlasiusOroondate1670
200,https://www.let.leidenuniv.nl/Dutch/Ceneton/BlasiusMalleWedding1671.html,"""39a03-53ed7f2cd8800-gzip""",61771,text/html,"Fri, 14 Oct 2016 19:08:16 GMT",BlasiusMalleWedding1671
200,https://www.let.leidenuniv.nl/Dutch/Ceneton/BoddaertMacbeth1800a.html,"""269dd-62010b553d680-gzip""",42457,text/html,"Mon, 19 Aug 2024 22:19:54 GMT",BoddaertMacbeth1800a
200,https://www.let.leidenuniv.nl/Dutch/Ceneton/BoelensVryer1649.html,"""d146-4d8ae37dd4600-gzip""",18106,text/html,"Sun, 24 Mar 2013 16:31:20 GMT",BoelensVryer1649
404,https://www.let.leidenuniv.nl/Dutch/Ceneton/BoelensVryer1672.html,,,,,BoelensVryer1672
200,https://www.let.leidenuniv.nl/Dutch/Ceneton/BoelensGlasenDoctoor1663.html,"""100a6-5b92c81076b80-gzip""",16017,text/html,"Mon, 18 Jan 2021 13:14:38 GMT",BoelensGlasenDoctoor1663
200,https://www.let.leidenuniv.nl/Dutch/Ceneton/BoelensTrouw1648.html,"""e4a2-5cd81b2cfee80-gzip""",18472,text/html,"Mon, 04 Oct 2021 07:16:58 GMT",BoelensTrouw1648
200,https://www.let.leidenuniv.nl/Dutch/Ceneton/BogaertAlexander1693.html,"""218ba-5b92c81076b80-gzip""",41053,text/html,"Mon, 18 Jan 2021 13:14:38 GMT",BogaertAlexander1693
200,https://www.let.leidenuniv.nl/Dutch/Ceneton/BogaertDroes1711a.html,"""190de-5b92c81076b80-gzip""",21382,text/html,"Mon, 18 Jan 2021 13:14:38 GMT",BogaertDroes1711a
200,https://www.let.leidenuniv.nl/Dutch/Ceneton/BogaertDroes1711c.html,"""19e84-5b92c81076b80-gzip""",21528,text/html,"Mon, 18 Jan 2021 13:14:38 GMT",BogaertDroes1711c
200,https://www.let.leidenuniv.nl/Dutch/Ceneton/BogaertPleiters1695.html,"""2aac7-4f703c95b2980-gzip""",33565,text/html,"Mon, 14 Apr 2014 17:12:22 GMT",BogaertPleiters1695
200,https://www.let.leidenuniv.nl/Dutch/Ceneton/BormeesterAegje1664.html,"""52b0-5b92c80e8e700-gzip""",7156,text/html,"Mon, 18 Jan 2021 13:14:36 GMT",BormeesterAegje1664
200,https://www.let.leidenuniv.nl/Dutch/Ceneton/BoltinghTiribus1665.html,"""f3b8-5b92c81076b80-gzip""",16227,text/html,"Mon, 18 Jan 2021 13:14:38 GMT",BoltinghTiribus1665
200,https://www.let.leidenuniv.nl/Dutch/Ceneton/Bontius/Bontius1645.html,"""37391-57cab6e387980-gzip""",50305,text/html,"Mon, 10 Dec 2018 14:03:34 GMT",Bontius/Bontius1645
200,https://www.let.leidenuniv.nl/Dutch/Ceneton/Bontius/Bontius1646.html,"""35270-57c8ab4311580-gzip""",57266,text/html,"Sat, 08 Dec 2018 23:00:54 GMT",Bontius/Bontius1646
200,https://www.let.leidenuniv.nl/Dutch/Ceneton/Bontius/Bontius1647.html,"""3882e-4ab30c4b7c380-gzip""",55160,text/html,"Tue, 23 Aug 2011 18:57:34 GMT",Bontius/Bontius1647
200,https://www.let.leidenuniv.nl/Dutch/Ceneton/Bontius/Bontius1659a.html,"""37959-53da4076bf600-gzip""",54895,text/html,"Thu, 29 Sep 2016 11:46:32 GMT",Bontius/Bontius1659a
200,https://www.let.leidenuniv.nl/Dutch/Ceneton/Bontius/Bontius1659b.html,"""23bf1-4abf706312b00-gzip""",51931,text/html,"Fri, 02 Sep 2011 15:29:16 GMT",Bontius/Bontius1659b
200,https://www.let.leidenuniv.nl/Dutch/Ceneton/Bontius/Bontius1720.html,"""275aa-5c322cf6ec200-gzip""",56829,text/html,"Tue, 25 May 2021 07:52:40 GMT",Bontius/Bontius1720
200,https://www.let.leidenuniv.nl/Dutch/Ceneton/Bontius/Bontius1729a.html,"""2236d-505620d528900-gzip""",42961,text/html,"Tue, 14 Oct 2014 13:32:52 GMT",Bontius/Bontius1729a
404,https://www.let.leidenuniv.nl/Dutch/Ceneton/Bontius1735ca.html,,,,,Bontius1735ca
200,https://www.let.leidenuniv.nl/Dutch/Ceneton/Bontius/Bontius1736ca.html,"""275f3-62dd079130100-gzip""",57023,text/html,"Mon, 10 Feb 2025 21:34:28 GMT",Bontius/Bontius1736ca
200,https://www.let.leidenuniv.nl/Dutch/Ceneton/Bontius/Bontius1750.html,"""272be-5c321e2905480-gzip""",56710,text/html,"Tue, 25 May 2021 06:46:26 GMT",Bontius/Bontius1750
200,https://www.let.leidenuniv.nl/Dutch/Ceneton/Bontius/Bontius1821a.html,"""2e3ef-5c321e2aed900-gzip""",61356,text/html,"Tue, 25 May 2021 06:46:28 GMT",Bontius/Bontius1821a
200,https://www.let.leidenuniv.nl/Dutch/Ceneton/Bontius/Bontius1821b.html,"""26c62-5c321e2aed900-gzip""",56473,text/html,"Tue, 25 May 2021 06:46:28 GMT",Bontius/Bontius1821b
200,https://www.let.leidenuniv.nl/Dutch/Ceneton/BoonAmintas1722.html,"""f6c5-50d4e2fcb0e00-gzip""",19791,text/html,"Fri, 23 Jan 2015 09:12:24 GMT",BoonAmintas1722
200,https://www.let.leidenuniv.nl/Dutch/Ceneton/BoonLeiden1711.html,"""22cbf-50d4e27ece500-gzip""",44512,text/html,"Fri, 23 Jan 2015 09:10:12 GMT",BoonLeiden1711
200,https://www.let.leidenuniv.nl/Dutch/Ceneton/BormeesterDoeden1643.html,"""1cb6e-5b92d577c8b00-gzip""",35185,text/html,"Mon, 18 Jan 2021 14:14:36 GMT",BormeesterDoeden1643
200,https://www.let.leidenuniv.nl/Dutch/Ceneton/BormeesterInfidelitas1644.html,"""d0f5-5bd5eecbdf200-gzip""",22930,text/html,"Fri, 12 Mar 2021 23:04:40 GMT",BormeesterInfidelitas1644
200,https://www.let.leidenuniv.nl/Dutch/Ceneton/BormeesterSijtje1643.html,"""117bb-5cd81b218d380-gzip""",18351,text/html,"Mon, 04 Oct 2021 07:16:46 GMT",BormeesterSijtje1643
200,https://www.let.leidenuniv.nl/Dutch/Ceneton/BormeesterZijtje1647.html,"""e5cf-5cd81b218d380-gzip""",17992,text/html,"Mon, 04 Oct 2021 07:16:46 GMT",BormeesterZijtje1647
200,https://www.let.leidenuniv.nl/Dutch/Ceneton/BosAgamemnon1661.html,"""1fc4e-5b92c80e8e700-gzip""",37836,text/html,"Mon, 18 Jan 2021 13:14:36 GMT",BosAgamemnon1661
200,https://www.let.leidenuniv.nl/Dutch/Ceneton/BosCatilina1669.html,"""1bec7-53591564d7480-gzip""",40323,text/html,"Sat, 18 Jun 2016 18:06:58 GMT",BosCatilina1669
404,https://www.let.leidenuniv.nl/Dutch/Ceneton/BosBiancaCapellis1649.html,,,,,BosBiancaCapellis1649
200,https://www.let.leidenuniv.nl/Dutch/Ceneton/BosRoodeWitteRoos1651.html,"""252e7-5b92c80e8e700-gzip""",46562,text/html,"Mon, 18 Jan 2021 13:14:36 GMT",BosRoodeWitteRoos1651
200,https://www.let.leidenuniv.nl/Dutch/Ceneton/BouckartScipio1658.html,"""2ce52-5b92c80e8e700-gzip""",51054,text/html,"Mon, 18 Jan 2021 13:14:36 GMT",BouckartScipio1658
200,https://www.let.leidenuniv.nl/Dutch/Ceneton/BouckartHanibal1653.html,"""42326-5b92c80e8e700-gzip""",56436,text/html,"Mon, 18 Jan 2021 13:14:36 GMT",BouckartHanibal1653
200,https://www.let.leidenuniv.nl/Dutch/Ceneton/BraamMariamne1774.html,"""24a44-5b92c80e8e700-gzip""",42261,text/html,"Mon, 18 Jan 2021 13:14:36 GMT",BraamMariamne1774
